"1","검정치마",,,,"6WeDO4GynFmK4OxwkBzMW8","https://i.scdn.co/image/ab6761610000e5eb8609536d21beed6769d09d7f"
"2","잔나비",,,,"2SY6OktZyMLdOnscX3DCyS","https://i.scdn.co/image/ab6761610000e5ebe5346373ce792a13045f3eed"
"3","최유리",,,,"6qvVoPGEqNCyYSjYCgfV1v","https://i.scdn.co/image/ab6761610000e5ebcc37edc7d40a07aea40b5882"
"4","실리카겔","Silica Gel",,,"2kxVxKOgoefmgkwoHipHsn","https://i.scdn.co/image/ab6761610000e5eb5d61ba15e6cd45e42640281c"
"5","데이먼스 이어","Damons year",,,"2T5KKZuEEudb7alCJ1pCus","https://i.scdn.co/image/ab6761610000e5eb8f81f3412431924d0c9c4f45"
"6","새소년",,,,"07OePkse2fcvU9wlVftNMl","https://i.scdn.co/image/ab6761610000e5eb09f78a42472e3acbb4975407"
"7","10CM","십센치",,,"6zn0ihyAApAYV51zpXxdEp","https://i.scdn.co/image/ab6761610000e5ebb3478e777df7e45f1ef1e8d7"
"8","혁오","HYUKOH",,,"57okaLdCtv3nVBSn5otJkp","https://i.scdn.co/image/ab6761610000e5eba83b7860635940ed829ee09b"
"9","카더가든","car the garden",,,"7c1HgFDe8ogy5NOZ1ANCJQ","https://i.scdn.co/image/ab6761610000e5eb60207000aebdb42a66f6880e"
"10","너드커넥션","Nerd Connection",,,"5WKUZJPvN1SScyggtPFShK","https://i.scdn.co/image/ab6761610000e5ebcd016d0a0783a321312e1733"
"11","허회경",,,,"5z8B2oTjiZbpbMB6rAfPGl","https://i.scdn.co/image/ab6761610000e5ebd7e93c2c64d2ce6512b383aa"
"12","우효","OOHYO",,,"50Zu2bK9y5UAtD0jcqk5VX","https://i.scdn.co/image/ab6761610000e5eb238451be72325e4ef78ef119"
