"30","피와 갈증 (King Of Hurts)","1","1KZB7zYegoY7sM2AKZday7","https://i.scdn.co/image/ab67616d0000b2739bde0aee740dae55ef6f8ce5","THIRSTY","2019-02-12","12"
"31","난 아니에요","1","7JOHU4KrdgzywwFGl6Alla","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","1"
"32","Big Love","1","2U34HCuUcXcyqWPQtY7tUa","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","2"
"33","Diamond","1","7JeHqv6WitH4sWn9Mq9EpX","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","3"
"34","Love Is All","1","1QoZ5G6pg7pZgEA7uFpgVh","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","4"
"35","내 고향 서울엔","1","2IGHKCRWhibDfgo0IfzfEB","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","5"
"36","폭죽과 풍선들","1","3P3guXf2RRhjPK0R2UlLZV","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","6"
"37","한시 오분 (1:05)","1","4bjNOhOMvqFPflwHIaS7Fw","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","7"
"38","나랑 아니면","1","3SLlqKXr91haZQhhNYNuVk","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","8"
"39","혜야","1","0V3eVNmgkOzJ5wQztnCpAV","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","9"
"40","EVERYTHING","1","19Hg1UCZaCdpHB37L7x63X","https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8","TEAM BABY","2017-05-30","10"
"41","이별노래","1","7KtVt5ZY1x4zXkXm7qx4QT","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","1"
"42","무임승차","1","2JmxGG31VmENOYm7JW2Gwg","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","2"
"43","Love Shine","1","6630UyH72yGwAWhYYKkB5G","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","3"
"44","외아들","1","5HaBQRjLZvEAcArrpBqvdJ","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","4"
"45","International Love Song","1","3R3cXK6BHZ5JDAgPOAHPQw","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","5"
"46","날씨","1","0rkntIugoynf3oU0aAPzCO","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","6"
"47","아침식사","1","4fifLi6MQpQubEwutQ2mj6","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","7"
"48","음악하는 여자","1","0nQaUlCxwiQ6SRwPSpXVby","https://i.scdn.co/image/ab67616d0000b273bf432a5595343d1345014767","Don't You Worry Baby (I'm Only Swimming)","2011-07-13","8"
